repo,stars,forks,license,archived,pushed_at,role,notes
NousResearch/hermes-agent,223534,43060,MIT,false,2026-08-01T06:49:40Z,harness,"multi-provider; memory; skills; subagents; messaging; sandbox backends"
anomalyco/opencode,191777,24467,MIT,false,2026-08-01T06:50:26Z,harness,"current OpenCode; old opencode-ai/opencode is archived"
anthropics/claude-code,139855,22452,Proprietary,false,2026-07-25T01:35:55Z,harness,"public distribution/plugin repository; core use governed by Anthropic commercial terms"
google-gemini/gemini-cli,106292,14359,Apache-2.0,false,2026-08-01T01:27:07Z,harness,"Gemini-first terminal agent; built-in tools and MCP"
openai/codex,102980,15504,Apache-2.0,false,2026-08-01T06:05:08Z,harness,"Rust terminal agent; OpenAI-first"
OpenHands/OpenHands,82740,10643,MIT,false,2026-08-01T06:08:16Z,platform,"Agent Canvas; local/remote/cloud backends; ACP agents"
earendil-works/pi,81616,10079,MIT,false,2026-08-01T06:40:14Z,harness-toolkit,"repository transferred from badlogic/pi-mono"
openinterpreter/openinterpreter,67482,5800,Apache-2.0,false,2026-07-28T04:42:45Z,adjacent,"general computer/coding agent rather than coding-only harness"
cline/cline,65356,7021,Apache-2.0,false,2026-08-01T06:54:08Z,harness-platform,"IDE; CLI; SDK; checkpoints; approvals"
aaif-goose/goose,52043,5821,Apache-2.0,false,2026-08-01T06:29:11Z,harness,"desktop; CLI; API; 15+ providers; MCP extensions"
Aider-AI/aider,47848,4796,Apache-2.0,false,2026-05-22T14:02:20Z,harness,"Git-first pair programming; repo map"
continuedev/continue,35248,5157,Apache-2.0,false,2026-08-01T04:31:38Z,legacy,"README says repository is no longer actively maintained and read-only"
stablyai/orca,34798,2430,MIT,false,2026-08-01T06:53:32Z,orchestrator,"parallel CLI agents in isolated worktrees"
Pythagora-io/gpt-pilot,33722,3479,NOASSERTION,false,2026-06-18T18:38:25Z,adjacent,"product-building workflow"
BloopAI/vibe-kanban,27607,2931,Apache-2.0,false,2026-04-24T09:17:34Z,orchestrator,"task board for external coding agents"
charmbracelet/crush,26994,2106,FSL-1.1-MIT,false,2026-08-01T05:57:52Z,harness,"source-available; not OSI open source at snapshot time"
Kilo-Org/kilocode,26654,2993,MIT,false,2026-08-01T00:52:36Z,harness-platform,"VS Code; JetBrains; CLI; CLI forked from OpenCode"
QwenLM/qwen-code,26486,2758,Apache-2.0,false,2026-08-01T06:53:46Z,harness,"multi-protocol; memory; skills; subagents; teams; daemon; SDK"
openai/symphony,26360,2666,Apache-2.0,false,2026-07-24T17:56:45Z,orchestrator,"isolated autonomous implementation runs; Codex-oriented"
RooCodeInc/Roo-Code,24364,3392,Apache-2.0,true,2026-05-15T18:08:47Z,legacy,"archived repository"
xai-org/grok-build,23730,4509,Apache-2.0,false,2026-07-31T18:08:12Z,harness,"very new at snapshot time; full TUI and extensibility surface"
herdrdev/herdr,23120,1581,Apache-2.0,false,2026-08-01T02:08:47Z,orchestrator,"runtime layer for external coding agents; emerging"
slopus/happy,22981,1934,MIT,false,2026-07-30T23:08:41Z,client,"mobile/web client for external agents"
SWE-agent/SWE-agent,19971,2178,MIT,false,2026-07-27T21:43:23Z,task-harness,"issue-to-patch research/evaluation harness; current effort points to mini-swe-agent"
plandex-ai/plandex,15557,1167,MIT,false,2025-10-03T21:49:58Z,harness,"large-task planning and cumulative diff sandbox; low recent commit activity"
github/copilot-cli,11038,1846,Proprietary,false,2026-08-01T04:18:20Z,harness,"public repository but modification forbidden by license"
MoonshotAI/kimi-cli,11056,1273,Apache-2.0,false,2026-07-16T10:05:51Z,legacy,"official README says it is winding down in favor of kimi-code"
SWE-agent/mini-swe-agent,6169,854,MIT,false,2026-07-27T21:43:23Z,task-harness,"minimal issue-solving agent; current SWE-agent development focus"
MoonshotAI/kimi-code,5847,899,MIT,false,2026-08-01T02:25:24Z,harness,"successor to kimi-cli; MCP; hooks; subagents; ACP"
generalaction/emdash,5315,545,Apache-2.0,false,2026-08-01T03:54:40Z,orchestrator,"parallel agents with per-task worktrees"
mistralai/mistral-vibe,4768,619,Apache-2.0,false,2026-07-31T19:39:35Z,harness,"minimal CLI; skills; MCP; subagents; approvals"
gptme/gptme,4373,399,MIT,false,2026-08-01T05:24:07Z,harness,"persistent terminal agent; local tools and web"
aws/amazon-q-developer-cli,1982,437,Apache-2.0,false,2026-06-22T14:54:13Z,harness,"AWS service-oriented terminal agent"
Picrew/awesome-agent-harness,1542,,NOASSERTION,false,2026-06-21T06:45:40Z,landscape,"survey companion list; discovery source only"
